path,branch,head,upstream,ahead,behind,dirty_staged,dirty_unstaged,dirty_untracked,detached,head_in_alpha,alpha_in_head,port_extract_staged,classification_hint
"umtuba-web-learning-collaboration-workspace-activity-timeline-foundation-v1","office/learning-collaboration-workspace-activity-timeline-foundation-v1",9478258874ba30e62ceccc0b68be95c6711feade,"origin/office/learning-collaboration-workspace-activity-timeline-foundation-v1",0,0,0,0,8,False,NO,NO,NO,
"umtuba-web-learning-collaboration-workspace-attachments-foundation-v1","office/learning-collaboration-workspace-attachments-foundation-v1",67cf30ff9c6ed7e04c99ccf0e2b8926fe898a2d5,"origin/office/learning-collaboration-workspace-attachments-foundation-v1",0,0,0,0,2,False,NO,NO,NO,
"umtuba-web-learning-collaboration-workspace-spine-foundation-v1","office/learning-collaboration-workspace-spine-foundation-v1",70e00e3f188338b47770ffe8bd368f611d3efd43,"origin/office/learning-collaboration-workspace-spine-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-learning-instructor-browser-e2e-foundation-v1","office/learning-instructor-browser-e2e-foundation-v1",525c046661c456e3b3170f52b4b568a8ea214058,"",,,0,14,4,False,NO,NO,NO,
"umtuba-web-learning-instructor-ui-contract-suite-v1","office/learning-instructor-ui-contract-suite-v1",525c046661c456e3b3170f52b4b568a8ea214058,"origin/office/learning-instructor-ui-contract-suite-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-live-v1","feature/live-streaming-v1-foundation",e3fa502f6db5307b842256b40c240080397add49,"",,,0,0,0,False,YES,NO,NO,
"umtuba-web-messenger-v1","feature/messenger-v1-foundation",7492f95c29f0db2b4452dcc5c85999119107f029,"",,,0,0,0,False,YES,NO,NO,
"umtuba-web-platform-app-shell-translation-v1","office/platform-app-shell-translation-v1",0d181604e4caa474d6d29fc44d96c8c9fad0d7dd,"origin/office/platform-app-shell-translation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-platform-i18n-foundation-v1","office/platform-internationalization-foundation-v1",6528202c349e6a5a41040a7d9287e4c7f97c1873,"origin/office/platform-internationalization-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-private-ai-deployment-runtime-v1","(detached)",cf3de8dd36cb19fe03cd9139d0ea48a8fb3d4705,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-private-ai-foundation-v1","office/platform-private-ai-foundation-v1",6fd2230943b5af0b9db2f9f86eeb73d71dbf60d5,"origin/office/platform-private-ai-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-private-ai-inference-execution-boundary-v1","(detached)",14ce7fd664c29a6c28eaf18d9f916c04053b013b,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-private-ai-inference-invocation-orchestration-v1","office/platform-private-ai-inference-invocation-orchestration-v1",16bbaa40277c50b541d1dfe402f3e0dc8961947a,"origin/office/platform-private-ai-inference-invocation-orchestration-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-private-ai-inference-request-contracts-v1","(detached)",ba0cca404b85b43c3e3dd25ba411818908d27319,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-private-ai-provider-adapter-boundary-v1","office/platform-private-ai-provider-adapter-boundary-v1",855b2401c4ef9a386f1eaf41bfdcc1eab9a514a3,"origin/office/platform-private-ai-provider-adapter-boundary-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-private-ai-provider-routing-policy-v1","(detached)",53637d8bd7c4b9b49e80dfbe429d884a969ca545,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-private-ai-runtime-operations-failover-v1","(detached)",517cff5c1e3bfdf68ed39e4aa58b94909c56590c,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-private-ai-workflow-lifecycle-v1","(detached)",db6f52a8bd54e22ef33ca19b0a072cea5f3846e1,"",,,19,0,0,True,NO,NO,NO,
"umtuba-web-private-ai-workflow-lifecycle-v1-final","(detached)",eb9e743dffcf453b52b91261eba2a241166ad115,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-profile-accessibility-v1","office/profile-accessibility-v1",54f4120bf7fdd2bdb364a448497c6072d8e1a464,"origin/office/profile-accessibility-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-profile-creator-space-ia-rename-v1","office/profile-creator-space-ia-rename-v1",4436fad2b07554aa528057d9ad4abe77647e4963,"origin/office/profile-creator-space-ia-rename-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-profile-empty-states-v1","office/profile-empty-states-v1",7b321eefaa354e993c4ef5cb746bf3aaefc299db,"origin/office/profile-empty-states-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-profile-error-states-v1","office/profile-error-states-v1",529783b7309fe43b166c6cd95a850ff2ae89851b,"origin/office/profile-error-states-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-profile-hero-joined-label-v1","office/profile-hero-joined-label-v1",f9bbf2a13f418170db0448495a713460514574b3,"origin/office/profile-hero-joined-label-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-profile-hero-social-links-v1","office/profile-hero-social-links-v1",549018dcadbf9ceea319428da48a6dba117de162,"origin/office/profile-hero-social-links-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-profile-identity-achievements-v1","office/profile-identity-achievements-v1",8ca12b7c1d783ec079274fb61721f9c00c17c421,"origin/office/profile-identity-achievements-v1",0,0,0,0,0,False,NO,NO,NO,
