"path","exists","head","branch","detached","commonGit","dirty","staged","unstaged","untracked","upstream","ahead","behind","lastSubject","lastDate","headIsAncestorOfAlpha","alphaIsAncestorOfHead"
"C:/Users/1/Desktop/umtuba/umtuba-web-collaboration-settings-lifecycle-ui-v1","True","f5ab724eb3f7803848765a9efaee163c01b38f23","office/collaboration-settings-lifecycle-ui-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/collaboration-settings-lifecycle-ui-v1","0","0","feat(collaboration): add settings lifecycle ui v1","2026-08-03 10:28:30 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-collaboration-workspace-ui-foundation-v1","True","b00240226b274c479dddd081da2332fd1f956145","office/collaboration-workspace-ui-foundation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/collaboration-workspace-ui-foundation-v1","0","0","docs(ai): save collaboration platform laptop handoff v1","2026-08-03 01:06:04 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-catalog-category-taxonomy-seed-v1","True","29f0f6b7bcbb3bcbc4c602c1f9a25bb85b7a5139","office/commerce-catalog-category-taxonomy-seed-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-catalog-category-taxonomy-seed-v1","0","0","feat(commerce): add seller inventory availability foundation v1","2026-08-02 09:44:07 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-chain-migration-apply-readiness-v1","True","3552241b70681ab77e0bea1336227fe606639739","office/commerce-chain-migration-apply-readiness-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-chain-migration-apply-readiness-v1","0","0","docs(commerce): record remote migration preflight not-ready","2026-08-05 14:58:41 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-chain-migration-apply-readiness-v1-current","True","c4736307bc7cdeb4116640d3969cc5e53e0e2594","office/commerce-chain-migration-apply-readiness-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-chain-migration-apply-readiness-v1-current","0","0","docs(commerce): add migration apply readiness v1","2026-08-02 15:50:12 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-chain-remote-preflight-recheck-v1","True","9fb7a05bad84f7b100de39c47bb96a6dd97c9fb1","office/commerce-chain-remote-preflight-recheck-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-chain-remote-preflight-recheck-v1","0","0","ops(commerce): repair migration history for 20260822 and 20260823","2026-08-02 17:49:31 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-commission-decomposition-bridge-apply-v1","True","7d90a0569e49f789f26159565125ad78b4ffd992","office/commerce-commission-decomposition-bridge-apply-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-commission-decomposition-bridge-apply-v1","0","0","feat(commerce): apply commission decomposition bridge v1","2026-08-01 11:06:11 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-commission-decomposition-bridge-apply-v1-current","True","1746bc7e6ce9434c68c78003894aab81409cc38b","office/commerce-commission-decomposition-bridge-apply-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-commission-decomposition-bridge-apply-v1-current","0","0","feat(commerce): apply commission decomposition bridge v1","2026-08-02 13:06:20 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-commission-policy-activation-v1","True","be87fb30c2c7ba15d66f8540e5e6c57e181649f6","office/commerce-commission-policy-activation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-commission-policy-activation-v1","0","0","merge(commerce): reconcile prior commission policy activation history","2026-08-01 11:40:50 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-commission-policy-activation-v1-current","True","c9f9458e945099e680798e4647104e542df27418","office/commerce-commission-policy-activation-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-commission-policy-activation-v1-current","0","0","feat(commerce): activate commission policy v1","2026-08-02 15:34:55 +0300","NO","NO"
