C:/Users/1/Desktop/umtuba/umtuba-web-commerce-product-production-readiness-audit-v1|office/commerce-product-production-readiness-audit-v1-current|4fc166c|origin/office/commerce-product-production-readiness-audit-v1-current|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-production-integration-preparation-v1|office/commerce-production-integration-preparation-v1|88d45f3|origin/office/commerce-production-integration-preparation-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-production-readiness-docs-gate-v1|office/commerce-production-readiness-docs-gate-v1|e4d9a8d||n/a|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-refund-operations-surface-v1|office/commerce-refund-operations-surface-v1|100c98e|origin/office/commerce-refund-operations-surface-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-refund-operations-surface-v1-current|office/commerce-refund-operations-surface-v1-current|a933624|origin/office/commerce-refund-operations-surface-v1-current|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-remote-migration-blocker-remediation-v1|office/commerce-remote-migration-blocker-remediation-v1|6aa7a84|origin/office/commerce-remote-migration-blocker-remediation-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-remote-migration-preflight-v1|office/commerce-remote-migration-preflight-v1|5166c95|origin/office/commerce-remote-migration-preflight-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-remote-migration-preflight-v1-current|office/commerce-remote-migration-preflight-v1-current|2dc6dfd|origin/office/commerce-remote-migration-preflight-v1-current|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-live-payout-manual-ops-drill-v1|DETACHED|6b1dc29||n/a|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-live-payout-provider-v1|office/commerce-seller-live-payout-provider-v1|3ebe184|origin/office/commerce-seller-live-payout-provider-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-live-payout-provider-v1-sot|office/commerce-seller-live-payout-provider-v1-sot|8e16c8c||n/a|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-payout-rails-v1|DETACHED|9a93fc9||n/a|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-seller-payout-rails-v1-current|office/commerce-seller-payout-rails-v1-current|b6a3bf6|origin/office/commerce-seller-payout-rails-v1-current|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-settlement-migration-remote-apply-v1|office/commerce-settlement-migration-remote-apply-v1|9fb7a05||n/a|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-sot-unification-stock-drift-v1|office/commerce-sot-unification-stock-drift-v1|e4d9a8d|origin/office/commerce-sot-unification-stock-drift-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-stripe-production-gate-readiness-v2|office/commerce-stripe-production-gate-readiness-v2|e4d9a8d||n/a|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-supplier-listing-create-hardening-v1|office/commerce-supplier-listing-create-hardening-v1|82b3606|origin/office/commerce-supplier-listing-create-hardening-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-transactional-notifications-v1|office/commerce-transactional-notifications-v1|674b4d1|origin/office/commerce-transactional-notifications-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-commerce-transactional-notifications-v1-current|office/commerce-transactional-notifications-v1-current|2c11852|origin/office/commerce-transactional-notifications-v1-current|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-integration-w2-commerce|integration/w2-commerce|0824cb4|origin/integration/w2-commerce|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web-revenue-platform-foundation-v1|office/unified-revenue-platform-foundation-v1|a1bde1f|origin/office/unified-revenue-platform-foundation-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/umtuba-web/worktrees/DESKTOP-A2|office/commerce-buyer-cart-wishlist-search-a11y-ui-contract-v1|9227cc3||n/a|DIRTY|untracked=1
C:/Users/1/Desktop/umtuba/worktrees/DESKTOP-A1|office/desktop-a1-jinn-video-pilot-ingest-precheck-automation-v1|d4beda5|origin/office/desktop-a1-jinn-video-pilot-ingest-precheck-automation-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/worktrees/DESKTOP-A2|office/desktop-a2-games-hub-safe-components-v1|ee457c4|origin/office/desktop-a2-games-hub-safe-components-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/worktrees/DESKTOP-A2-REGRESSION|office/desktop-a2-stripe-test-fixture-pack-regression-v1|df47668|origin/office/desktop-a2-stripe-test-fixture-pack-regression-v1|A0/B0|CLEAN|untracked=0
C:/Users/1/Desktop/umtuba/worktrees/DESKTOP-A3|office/desktop-a3-commerce-seller-ops-filter-status-a11y-contract-v1|9227cc3||n/a|DIRTY|untracked=1
